elapsed_ms,delta_ms,x,y,z,magnitude
31.000,,-472,-148,-40,496.274
1031.000,1000.000,-504,-128,-28,520.753
2063.000,1032.000,-380,-268,-216,512.718
3063.000,1000.000,-448,-244,-84,517.007
4047.000,984.000,-204,-216,-428,521.014
5125.000,1078.000,264,-124,-412,504.793
6922.000,1797.000,492,-72,-184,530.192
7109.000,187.000,468,-208,-68,516.635
8094.000,985.000,352,-148,328,503.381
9047.000,953.000,352,-148,328,503.381
10031.000,984.000,68,-184,480,518.536
11016.000,985.000,-432,-124,240,509.510
12141.000,1125.000,-452,-120,188,504.032
13094.000,953.000,-488,-128,-144,524.656
14031.000,937.000,-484,-140,72,508.960
15125.000,1094.000,-324,-120,376,510.639
16016.000,891.000,-320,-140,384,519.092
17047.000,1031.000,-320,-140,384,519.092
18047.000,1000.000,-320,-140,384,519.092
19219.000,1172.000,-320,-140,384,519.092
20156.000,937.000,472,-140,-120,506.739
